NIKKU|Scrapped Nikku Render
SKARLET FNF DESIGN|Upgraded Skarlet Design (Scrapped)
SCRAPPED MECHANICS|Scrapped Chase Sequence Mechanics
logo|First logo sketch
ALBUM COVER SCRAPPED CONCEPT1|Scrapped Album Cover Sketch 1
ALBUM COVER SCRAPPED CONCEPT2|Scrapped Album Cover Sketch 2
ALBUM COVER SCRAPPED CONCEPT3|Scrapped Album Cover Sketch 3
ALBUM COVER SCRAPPED CONCEPT4|Scrapped Album Cover Sketch 4
ALBUM COVER|Album Cover Sketch
BACKGROUND|Subway Background Sketch
CUSTOM BF POSES|New Boyfriend Sketch
DARNELL RENDER|Darnell Render Sketch
ERECT SKARLET|Scrapped Erect Difficulty Design
GF|Scrapped GF Sprite
MAIN MENU|Main Menu Concept
MATT RENDER|Matt Render Sketch
old icons|OLD ASS ICONS
REDESIGN CONCEPT|Skarlet Scrapped Redesign
skalet new|Scrapped Joke Character
skalet|Scrapped Joke Character (older look)
SKARLET HYPED POSES|Scrapped Skarlet Hyped Poses
SKARLET GRAFFITI DESIGN|Scrapped Skarlet Graffiti Design
VS DARNELL CONCEPT|Scrapped Darnell Concept
VS MATT|Matt Concept
BF GRAFFITI DESIGN|Scrapped BF Graffiti Mode Design
